conditions,d_price,details,guest_rating,name,original_price,room_type,star
,"1 night, 2 adults
US$543US$76
Original price US$543. Current price US$76.","Breakfast included
La Palma Villa
Opens in new window
UkulhasShow on map
8.8
Scored 8.8
Fabulous
185 reviews
Deluxe Villa with 18% discount on All Excursions
Entire villa • 1 bedroom • 1 bathroom • 161.5feet²
2 extra-large double beds
Breakfast included
Free cancellation
No prepayment needed – pay at the property
1 night, 2 adults
US$543US$76
Original price US$543. Current price US$76.
See availability","8.8
Scored 8.8
Fabulous
185 reviews",La Palma Villa,Ukulhas,Deluxe Villa with 18% discount on All Excursions,3 out of 5
,"1 night, 2 adults
US$352
Price US$352","Breakfast & dinner included
Angsana Velavaru - All inclusive SELECT with 20 percent off on Return Sea Plane Transfers on selected rooms, till 30th Sep 2024
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Dhaalu AtollShow on map
Sustainability certification
8.9
Scored 8.9
Fabulous
286 reviews
Beach Villa - 20% off on Return Seaplane Transfers, F&B, Spa Services, and Water Sports (*Applicable for bookings and stays between 15 June – 30 September 2024)
Entire villa • 1 bedroom • 1 living room • 1 bathroom • 947.2feet²
1 extra-large double bed
All meals included
1 night, 2 adults
US$352
Price US$352
See availability","8.9
Scored 8.9
Fabulous
286 reviews","Angsana Velavaru - All inclusive SELECT with 20 percent off on Return Sea Plane Transfers on selected rooms, till 30th Sep 2024",Dhaalu Atoll,"Beach Villa - 20% off on Return Seaplane Transfers, F&B, Spa Services, and Water Sports (*Applicable for bookings and stays between 15 June – 30 September 2024)",5 out of 5
,"1 night, 2 adults
US$508US$406
Original price US$508. Current price US$406.","All-inclusive
You & Me Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Raa AtollShow on map
9.2
Scored 9.2
Superb
257 reviews
Getaway Deal
Manta Villa
Entire bungalow • 1 bedroom • 1 bathroom • 592feet²
1 extra-large double bed
All-inclusive
Only 5 left at this price on our site
1 night, 2 adults
US$508US$406
Original price US$508. Current price US$406.
See availability","9.2
Scored 9.2
Superb
257 reviews",You & Me Maldives,Raa Atoll,Manta Villa,5 out of 5
,"1 night, 2 adults
US$99
Price US$99","Dhiguveli Maldives
Opens in new window
DhigurahShow on map
9.2
Scored 9.2
Superb
368 reviews
Location 9.6
Deluxe Room
1 extra-large double bed
Only 6 rooms left at this price on our site
1 night, 2 adults
US$99
Price US$99
See availability","9.2
Scored 9.2
Superb
368 reviews",Dhiguveli Maldives,Dhigurah,Deluxe Room,3 out of 5
,"1 night, 2 adults
US$340US$238
Original price US$340. Current price US$238.","Breakfast included
Centara Ras Fushi Resort & Spa Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
North Male AtollShow on map
8.9
Scored 8.9
Fabulous
1,440 reviews
Getaway Deal
Lagoon Beach Villa King
1 extra-large double bed
Breakfast included
Free cancellation
Only 3 rooms left at this price on our site
1 night, 2 adults
US$340US$238
Original price US$340. Current price US$238.
See availability","8.9
Scored 8.9
Fabulous
1,440 reviews",Centara Ras Fushi Resort & Spa Maldives,North Male Atoll,Lagoon Beach Villa King,4 out of 5
,"1 night, 2 adults
US$557
Price US$557","Breakfast & dinner included
Sirru Fen Fushi Private Lagoon Resort
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Shaviyani AtollShow on map
Sustainability certification
8.7
Scored 8.7
Fabulous
135 reviews
Sunrise Beach Villa with Pool
1 extra-large double bed
Breakfast & dinner included
Only 7 rooms left at this price on our site
1 night, 2 adults
US$557
Price US$557
See availability","8.7
Scored 8.7
Fabulous
135 reviews",Sirru Fen Fushi Private Lagoon Resort,Shaviyani Atoll,Sunrise Beach Villa with Pool,5 out of 5
,"1 night, 2 adults
US$111
Price US$111","Breakfast included
Dhiguveli Breeze
Opens in new window
DhigurahShow on map
9.3
Scored 9.3
Superb
186 reviews
Location 9.6
Deluxe Double Room with Balcony
1 extra-large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
1 night, 2 adults
US$111
Price US$111
See availability","9.3
Scored 9.3
Superb
186 reviews",Dhiguveli Breeze,Dhigurah,Deluxe Double Room with Balcony,3 out of 5
,"1 night, 2 adults
US$159
Price US$159","All meals included
Kuredu Island Resort & Spa
Opens in new window
KureduShow on map
8.9
Scored 8.9
Fabulous
938 reviews
Location 9.3
Garden Bungalow
1 large double bed
All meals included
1 night, 2 adults
US$159
Price US$159
See availability","8.9
Scored 8.9
Fabulous
938 reviews",Kuredu Island Resort & Spa,Kuredu,Garden Bungalow,4 out of 5
,"1 night, 2 adults
US$83
Price US$83","Breakfast included
Kaani Palm Beach
Opens in new window
MaafushiShow on map
8.4
Scored 8.4
Very good
3,503 reviews
Location 9.3
Standard Double Room (Excludes Window Access)
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
US$83
Price US$83
See availability","8.4
Scored 8.4
Very good
3,503 reviews",Kaani Palm Beach,Maafushi,Standard Double Room (Excludes Window Access),4 out of 5
,"1 night, 2 adults
US$59
Price US$59","Holiday Cottage Thoddoo, Maldives
Opens in new window
ThoddooShow on map
9.5
Scored 9.5
Exceptional
151 reviews
Location 9.7
Standard Double or Twin Room with Garden View
2 beds (1 single, 1 double)
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site
1 night, 2 adults
US$59
Price US$59
See availability","9.5
Scored 9.5
Exceptional
151 reviews","Holiday Cottage Thoddoo, Maldives",Thoddoo,Standard Double or Twin Room with Garden View,3 out of 5
