conditions,d_price,details,guest_rating,name,original_price,room_type,star
,"1 night, 2 adults
US$420US$294
Original price US$420. Current price US$294.","Breakfast included
Sun Siyam Iru Fushi - 50 percent off on Seaplane transfer for minimum 4 night stay till 30 Sept 2024
Opens in new window
ManadhooShow on map
9.1
Scored 9.1
Superb
470 reviews
Location 9.3
Getaway Deal
Deluxe Beach Villa - 50% off on return seaplane transfer, 2 Pax (On stays 4 nights and above between 01st May 24 and 30th Sept 24) + 2 Children upto 14.99 years stay and eat free on the same meal plan. Applicable only for bookings from 29th March, 2024.
2 beds (1 extra-large double, 1 sofa bed)
Breakfast included
Free cancellation
1 night, 2 adults
US$420US$294
Original price US$420. Current price US$294.
See availability","9.1
Scored 9.1
Superb
470 reviews",Sun Siyam Iru Fushi - 50 percent off on Seaplane transfer for minimum 4 night stay till 30 Sept 2024,Manadhoo,"Deluxe Beach Villa - 50% off on return seaplane transfer, 2 Pax (On stays 4 nights and above between 01st May 24 and 30th Sept 24) + 2 Children upto 14.99 years stay and eat free on the same meal plan. Applicable only for bookings from 29th March, 2024.",5 out of 5
,"1 night, 2 adults
US$254
Price US$254","Breakfast included
Meeru Maldives Resort Island
Opens in new window
DhiffushiShow on map
9.3
Scored 9.3
Superb
2,014 reviews
Location 9.5
Beach Villa with Spa Bath
Entire bungalow • 1 bedroom • 1 bathroom • 861.1feet²
1 large double bed
Breakfast included
Free cancellation
1 night, 2 adults
US$254
Price US$254
See availability","9.3
Scored 9.3
Superb
2,014 reviews",Meeru Maldives Resort Island,Dhiffushi,Beach Villa with Spa Bath,4 out of 5
,"1 night, 2 adults
US$215US$97
Original price US$215. Current price US$97.","Breakfast included
Paguro Seaview
Opens in new window
BodufolhudhooShow on map
9.2
Scored 9.2
Superb
175 reviews
Location 9.6
Deluxe Double Room Beach Front
1 large double bed
Breakfast included
Only 2 rooms left at this price on our site
1 night, 2 adults
US$215US$97
Original price US$215. Current price US$97.
See availability","9.2
Scored 9.2
Superb
175 reviews",Paguro Seaview,Bodufolhudhoo,Deluxe Double Room Beach Front,3 out of 5
,"1 night, 2 adults
US$602
Price US$602","Siyam World Maldives - 24-Hour Premium All-inclusive with Free Transfer
Opens in new window
DhigurahShow on map
9.2
Scored 9.2
Superb
647 reviews
Beach Suite with Pool - Free shared seaplane for 2 guests, minimum 7-night stay
Private suite • 1 bedroom • 1 living room • 1 bathroom • 1,097.9feet²
1 extra-large double bed
1 night, 2 adults
US$602
Price US$602
See availability","9.2
Scored 9.2
Superb
647 reviews",Siyam World Maldives - 24-Hour Premium All-inclusive with Free Transfer,Dhigurah,"Beach Suite with Pool - Free shared seaplane for 2 guests, minimum 7-night stay",5 out of 5
,"1 night, 2 adults
US$605
Price US$605","Breakfast included
Radisson Blu Resort Maldives
Opens in new window
FenfushiShow on map
8.8
Scored 8.8
Fabulous
891 reviews
Overwater Villa with Pool and Lagoon View
Entire villa • 1 bedroom • 2 bathrooms • 2,368.1feet²
1 extra-large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 2 left at this price on our site
1 night, 2 adults
US$605
Price US$605
See availability","8.8
Scored 8.8
Fabulous
891 reviews",Radisson Blu Resort Maldives,Fenfushi,Overwater Villa with Pool and Lagoon View,5 out of 5
,"1 night, 2 adults
US$204
Price US$204","Breakfast included
Furaveri Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Raa AtollShow on map
9.2
Scored 9.2
Superb
999 reviews
Location 9.4
Villa
Breakfast included
Free cancellation
1 night, 2 adults
US$204
Price US$204
See availability","9.2
Scored 9.2
Superb
999 reviews",Furaveri Maldives,Raa Atoll,Villa,5 out of 5
,"1 night, 2 adults
US$102
Price US$102","Breakfast included
Ahiva Village
Opens in new window
FulhadhooShow on map
9.0
Scored 9.0
Superb
58 reviews
Twin Room
2 double beds
Breakfast included
Free cancellation
1 night, 2 adults
US$102
Price US$102
See availability","9.0
Scored 9.0
Superb
58 reviews",Ahiva Village,Fulhadhoo,Twin Room,3 out of 5
,"1 night, 2 adults
US$84
Price US$84","Plumeria Maldives
Opens in new window
ThinadhooShow on map
9.2
Scored 9.2
Superb
462 reviews
Location 9.5
Standard Double Room
1 double bed
Breakfast included
1 night, 2 adults
US$84
Price US$84
See availability","9.2
Scored 9.2
Superb
462 reviews",Plumeria Maldives,Thinadhoo,Standard Double Room,4 out of 5
,"1 night, 2 adults
US$161
Price US$161","Breakfast included
Tropical Tree
Opens in new window
FehendhooShow on map
9.2
Scored 9.2
Superb
30 reviews
Deluxe King Room
1 extra-large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
1 night, 2 adults
US$161
Price US$161
See availability","9.2
Scored 9.2
Superb
30 reviews",Tropical Tree,Fehendhoo,Deluxe King Room,3 out of 5
,"1 night, 2 adults
US$1,097US$658
Original price US$1,097. Current price US$658.","All meals included
Nova Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
DhangethiShow on map
9.4
Scored 9.4
Superb
159 reviews
Location 9.7
Beach Villa | 15% off on selected Watersports, Spa & Nova Experiences
Entire villa • 1 bedroom • 1 living room • 1 bathroom • 861.1feet²
1 extra-large double bed
All meals included
1 night, 2 adults
US$1,097US$658
Original price US$1,097. Current price US$658.
See availability","9.4
Scored 9.4
Superb
159 reviews",Nova Maldives,Dhangethi,"Beach Villa | 15% off on selected Watersports, Spa & Nova Experiences",5 out of 5
,"1 night, 2 adults
US$73
Price US$73","Azoush Tourist Guesthouse
Opens in new window
FulhadhooShow on map
9.3
Scored 9.3
Superb
120 reviews
Location 9.6
Standard Double or Twin Room
Multiple bed types
Free cancellation
No prepayment needed – pay at the property
Only 3 rooms left at this price on our site
1 night, 2 adults
US$73
Price US$73
See availability","9.3
Scored 9.3
Superb
120 reviews",Azoush Tourist Guesthouse,Fulhadhoo,Standard Double or Twin Room,3 out of 5
,"1 night, 2 adults
US$65
Price US$65","Breakfast included
Finolhu Beach Guest House
Opens in new window
FelidhooShow on map
8.5
Scored 8.5
Very good
63 reviews
Deluxe Double Room
1 large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site
1 night, 2 adults
US$65
Price US$65
See availability","8.5
Scored 8.5
Very good
63 reviews",Finolhu Beach Guest House,Felidhoo,Deluxe Double Room,3 out of 5
,"1 night, 2 adults
US$298
Price US$298","Breakfast included
Ellaidhoo Maldives by Cinnamon
Opens in new window
HangnaameedhooShow on map
Sustainability certification
8.9
Scored 8.9
Fabulous
334 reviews
Beach Bungalow - Spa (20%) and a 15% off excursions - Dolphin watching / Sunset fishing / Sunset Cruise for Bookings from 15th Feb, 2024
Entire bungalow • 1 bedroom • 1 bathroom • 409feet²
1 large double bed
Breakfast included
1 night, 2 adults
US$298
Price US$298
See availability","8.9
Scored 8.9
Fabulous
334 reviews",Ellaidhoo Maldives by Cinnamon,Hangnaameedhoo,"Beach Bungalow - Spa (20%) and a 15% off excursions - Dolphin watching / Sunset fishing / Sunset Cruise for Bookings from 15th Feb, 2024",4 out of 5
,"1 night, 2 adults
US$68
Price US$68","Raalhu Fonu Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
MahibadhooShow on map
9.8
Scored 9.8
Exceptional
34 reviews
Location 9.6
Double or Twin Room
Multiple bed types
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 3 rooms left at this price on our site
1 night, 2 adults
US$68
Price US$68
See availability","9.8
Scored 9.8
Exceptional
34 reviews",Raalhu Fonu Maldives,Mahibadhoo,Double or Twin Room,
,"1 night, 2 adults
US$809
Price US$809","Breakfast & dinner included
NH Collection Maldives Havodda Resort
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Gaafu Dhaalu AtollShow on map
9.1
Scored 9.1
Superb
219 reviews
Villa Beach Front
Breakfast & dinner included
1 night, 2 adults
US$809
Price US$809
See availability","9.1
Scored 9.1
Superb
219 reviews",NH Collection Maldives Havodda Resort,Gaafu Dhaalu Atoll,Villa Beach Front,5 out of 5
,"1 night, 2 adults
US$695US$556
Original price US$695. Current price US$556.","Breakfast included
The Standard, Huruvalhi Maldives
Opens in new window
Raa AtollShow on map
9.3
Scored 9.3
Superb
857 reviews
Location 9.4
Getaway Deal
Ocean Overwater Villa with Private Pool
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
US$695US$556
Original price US$695. Current price US$556.
See availability","9.3
Scored 9.3
Superb
857 reviews","The Standard, Huruvalhi Maldives",Raa Atoll,Ocean Overwater Villa with Private Pool,5 out of 5
,"1 night, 2 adults
US$1,272
Price US$1,272","Breakfast included
Madifushi Private Island
Opens in new window
Meemu AtollShow on map
9.0
Scored 9.0
Superb
121 reviews
Location 9.3
Beach Villa with Private Pool (One Time Free Snorkelling to nearby Reef & Free Sea Plane Transfers for Two adults (for stays more than 4 nights ONLY)
Entire villa • 1 bedroom • 1 living room • 1 bathroom • 1,550feet²
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
US$1,272
Price US$1,272
See availability","9.0
Scored 9.0
Superb
121 reviews",Madifushi Private Island,Meemu Atoll,Beach Villa with Private Pool (One Time Free Snorkelling to nearby Reef & Free Sea Plane Transfers for Two adults (for stays more than 4 nights ONLY),5 out of 5
,"1 night, 2 adults
US$698US$558
Original price US$698. Current price US$558.","Breakfast included
JA Manafaru Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
DhidhdhooShow on map
9.3
Scored 9.3
Superb
385 reviews
Getaway Deal
Beach Villa with Private Pool
1 extra-large double bed
Breakfast included
1 night, 2 adults
US$698US$558
Original price US$698. Current price US$558.
See availability","9.3
Scored 9.3
Superb
385 reviews",JA Manafaru Maldives,Dhidhdhoo,Beach Villa with Private Pool,5 out of 5
,"1 night, 2 adults
US$537US$295
Original price US$537. Current price US$295.","Breakfast included
Cinnamon Velifushi Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
KeyodhooShow on map
9.2
Scored 9.2
Superb
686 reviews
Location 9.4
Getaway Deal
Superior Beach Loft - FREE speedboat Transfers (return transfer included) | Book from 16th to 30th April 2024 | Stay Dates: Valid until 31st October 2024 (valid on minimum 4 night stays)
1 extra-large double bed
Breakfast included
Only 2 rooms left at this price on our site
1 night, 2 adults
US$537US$295
Original price US$537. Current price US$295.
See availability","9.2
Scored 9.2
Superb
686 reviews",Cinnamon Velifushi Maldives,Keyodhoo,Superior Beach Loft - FREE speedboat Transfers (return transfer included) | Book from 16th to 30th April 2024 | Stay Dates: Valid until 31st October 2024 (valid on minimum 4 night stays),5 out of 5
,"1 night, 2 adults
US$1,120
Price US$1,120","Breakfast & dinner included
Sirru Fen Fushi Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Shaviyani AtollShow on map
Sustainability certification
8.7
Scored 8.7
Fabulous
133 reviews
Beach Sunrise Villa with Private Pool and Personal Villa Host
Entire villa • 1 bedroom • 1 bathroom • 3,842.7feet²
1 extra-large double bed
Breakfast & dinner included
Only 5 left at this price on our site
1 night, 2 adults
US$1,120
Price US$1,120
See availability","8.7
Scored 8.7
Fabulous
133 reviews",Sirru Fen Fushi Maldives,Shaviyani Atoll,Beach Sunrise Villa with Private Pool and Personal Villa Host,5 out of 5
,"1 night, 2 adults
US$87
Price US$87","Breakfast included
Canareef Resort Maldives
Opens in new window
MeedhooShow on map
8.0
Scored 8.0
Very good
143 reviews
Sunrise Villa
Entire villa • 1 bedroom • 1 bathroom • 818.1feet²
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
US$87
Price US$87
See availability","8.0
Scored 8.0
Very good
143 reviews",Canareef Resort Maldives,Meedhoo,Sunrise Villa,4 out of 5
,"1 night, 2 adults
US$401US$180
Original price US$401. Current price US$180.","Breakfast included
Royal Island Resort at Baa Atoll Biosphere Reserve
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Baa AtollShow on map
9.1
Scored 9.1
Superb
1,270 reviews
Beach Villa
2 beds (1 single, 1 double)
Breakfast included
Free cancellation
1 night, 2 adults
US$401US$180
Original price US$401. Current price US$180.
See availability","9.1
Scored 9.1
Superb
1,270 reviews",Royal Island Resort at Baa Atoll Biosphere Reserve,Baa Atoll,Beach Villa,5 out of 5
,"1 night, 2 adults
US$808US$242
Original price US$808. Current price US$242.","All-inclusive
Cinnamon Hakuraa Huraa Maldives - All Inclusive
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Meemu AtollShow on map
Sustainability certification
9.3
Scored 9.3
Superb
555 reviews
Location 9.4
Limited-time Deal
Standard Beach Bungalow - FREE guided snorkeling session + 10% off F&B & Excursions + FREE return speedboat Transfers | Book dates: 16 to 30 Apr 2024 | Stay Dates: until 31 Oct 2024 (valid on min 4 night stays)
Entire bungalow • 1 bedroom • 1 bathroom • 753.5feet²
1 double bed
All-inclusive
Only 1 left at this price on our site
1 night, 2 adults
US$808US$242
Original price US$808. Current price US$242.
See availability","9.3
Scored 9.3
Superb
555 reviews",Cinnamon Hakuraa Huraa Maldives - All Inclusive,Meemu Atoll,Standard Beach Bungalow - FREE guided snorkeling session + 10% off F&B & Excursions + FREE return speedboat Transfers | Book dates: 16 to 30 Apr 2024 | Stay Dates: until 31 Oct 2024 (valid on min 4 night stays),4 out of 5
,"1 night, 2 adults
US$582US$262
Original price US$582. Current price US$262.","Breakfast included
Kandima Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
KudahuvadhooShow on map
8.8
Scored 8.8
Fabulous
1,473 reviews
Sky Studio | 50% off on Return Domestic Transfers (on stays 4 nights or more between 11 Apr & 30 Sep 2024) + 2 Children up to 5.99 Years Stay & Eat Free on Same Meal Plan Chosen by Adult Guests + 15% off on Excursions & Water Sports
2 beds (1 extra-large double, 1 sofa bed)
Breakfast included
Free cancellation
1 night, 2 adults
US$582US$262
Original price US$582. Current price US$262.
See availability","8.8
Scored 8.8
Fabulous
1,473 reviews",Kandima Maldives,Kudahuvadhoo,Sky Studio | 50% off on Return Domestic Transfers (on stays 4 nights or more between 11 Apr & 30 Sep 2024) + 2 Children up to 5.99 Years Stay & Eat Free on Same Meal Plan Chosen by Adult Guests + 15% off on Excursions & Water Sports,5 out of 5
,"1 night, 2 adults
US$1,465US$864
Original price US$1,465. Current price US$864.","Breakfast included
Kandolhu Maldives
Opens in new window
Himandhoo Show on map
9.7
Scored 9.7
Exceptional
88 reviews
Location 10
Limited-time Deal
Ocean Villa
1 extra-large double bed
Breakfast included
Only 3 rooms left at this price on our site
1 night, 2 adults
US$1,465US$864
Original price US$1,465. Current price US$864.
See availability","9.7
Scored 9.7
Exceptional
88 reviews",Kandolhu Maldives,Himandhoo,Ocean Villa,5 out of 5
