conditions,d_price,details,guest_rating,name,original_price,room_type,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
,"1 night, 2 adults
₱ 63,342₱ 8,868
Original price ₱ 63,342. Current price ₱ 8,868.
+₱ 2,781 taxes and charges",details,none,La Palma Villa,address,recom_units,star
